Penalty,Mean ROC-AUC,ROC-AUC CI,Mean F1,F1 CI
NO,0.554,"[0.544 , 0.564]",0.225,"[0.128 , 0.323]"
L1,0.484,"[0.481 , 0.488]",0.182,"[0.173 , 0.192]"
L2,0.552,"[0.549 , 0.555]",0.21,"[0.19 , 0.23]"
