Fold,Train Accuracy,Validation Accuracy,Train AUC,Validation AUC,Train Loss,Validation Loss,Elapsed Time,embed_dim,n_encoders_layers,num_heads_for_0_layer,num_heads_for_1_layer,n_dense_layers,units_for_0_layer,learning_rate,num_heads_for_2_layer,num_heads_for_3_layer,units_for_1_layer
1,0.5474307575821876,0.4416309016942978,0.9594983971118927,0.9165457785129547,1.8413860988616944,2.7926587438583375,1943.2647950649261,16.0,2.0,2.0,4.0,1.0,32.0,0.001,4.0,2.0,32.0
2,0.5606682568788528,0.44521489679813386,0.957875382900238,0.9031663835048676,1.8279535460472107,3.0118436765670777,595.9479470252991,16.0,2.0,2.0,4.0,1.0,32.0,0.001,4.0,2.0,32.0
3,0.5517040608823299,0.4504584509134293,0.9650105893611908,0.9042344021797181,1.7419270443916322,3.1824938917160033,616.5282070636749,16.0,2.0,2.0,4.0,1.0,32.0,0.001,4.0,2.0,32.0
4,0.53033890157938,0.4869627505540848,0.9606494796276093,0.9260203301906585,1.8665323185920715,2.677677321434021,625.4317412376404,16.0,2.0,2.0,4.0,1.0,32.0,0.001,4.0,2.0,32.0
CV,0.5475354942306876,0.4560667499899864,0.9607584622502326,0.9124917235970497,1.819449751973152,2.91616840839386,,,,,,,,,,,
