Metric,Value
Diameter,6.0
Girth,3.0
Radius,0.0
Average Path Length,2.3258391386953767
Density,0.007721125730994152
Average Degree,3.953216374269006
Assortivity Degree,0.6899713711670556
Transitivity Average,0.777568136194365
Transitivity Undirected,0.7063253012048193
