Fold,Loss,Accuracy,AUC
Fold 1,2.570358991622925,0.4878397583961487,0.9177220463752747
Fold 2,2.436805486679077,0.4835479259490967,0.9317593574523926
Fold 3,2.4984629154205322,0.4849785268306732,0.9246025085449219
Fold 4,2.5278069972991943,0.46924176812171936,0.9240332841873169
CV,2.508358597755432,0.4814019948244095,0.9245292991399765
